tig,sample,hap,chrom,arm_mb,nblocks,syntax,complete
NA12886_2_haplotype2-0000095_chr15,NA12886,2,chr15,10.19614,14,bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat1B-HSat3-HSat3-HSat3-aSat,True
NA12887_1_haplotype1-0000006_chr21,NA12887,1,chr21,4.504258,6,rDNA-bSat-HSat1B-HSat3-HSat3-HSat1A,False
NA12887_1_haplotype1-0000012_chr15,NA12887,1,chr15,9.626482,14,bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat1B-HSat3-HSat3-HSat3-aSat,True
NA12887_1_haplotype1-0000013_chr13,NA12887,1,chr13,5.979452,7,rDNA-bSat-HSat3-HSat3-HSat3-SST1-HSat1A,False
NA12887_1_haplotype1-0000019_chr14,NA12887,1,chr14,10.058394,14,ACRO-bSat-HSat3-HSat1A-HSat3-ACRO-OTHERSAT-DJ-rDNA-bSat-HSat3-HSat3-HSat1B-aSat,True
NA12887_1_haplotype1-0000021_chr22,NA12887,1,chr22,8.746668,9,rDNA-HSat1B-HSat3-HSat3-bSat-HSat3-bSat-HSat3-aSat,False
NA12887_2_haplotype2-0000065_chr21,NA12887,2,chr21,5.40101,7,rDNA-bSat-bSat-HSat3-HSat3-HSat3-HSat1A,False
NA12887_2_haplotype2-0000070_chr15,NA12887,2,chr15,11.838737,8,rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-HSat3-HSat3,False
NA12887_2_haplotype2-0000076_chr13,NA12887,2,chr13,4.094251,3,HSat3-SST1-HSat1A,False
NA12887_2_haplotype2-0000080_chr22,NA12887,2,chr22,8.710366,11,rDNA-bSat-HSat3-HSat1B-HSat3-HSat3-bSat-HSat3-bSat-HSat3-aSat,False
NA12887_2_haplotype2-0000093_chr14,NA12887,2,chr14,7.578683,15,HSat3-HSat1A-HSat3-bSat-ACRO-bSat-HSat3-HSat1B-HSat3-bSat-HSat3-bSat-bSat-HSat3-aSat,False
