arm,chrom,source,segment,slot,start,end,bp,pred,post,slot_sat_mass
HG02976_h1_chr13,chr13,censat,proximal,13,3469026,3545639,76613,HSat3,0.49074074074074064,0.9557522123893807
HG02976_h1_chr22,chr22,censat,distal,8,1390549,1676093,285544,ACRO,0.9508928571428572,0.797153024911032
HG02976_h1_chr21,chr21,censat,proximal,11,3881273,3974740,93467,HSat3,0.9868421052631579,0.9906890130353818
HG02976_h2_chr13,chr13,censat,proximal,13,3778070,3863150,85080,HSat3,0.49074074074074064,0.9557522123893807
HG02976_h2_chr14,chr14,censat,proximal,13,4545620,4622105,76485,HSat1B,0.6018518518518517,0.9557522123893807
HG03130_h1_chr13,chr13,censat,distal,1,7587,165747,158160,ACRO,0.8491379310344828,0.9789029535864978
HG03130_h1_chr13,chr13,censat,distal,8,2786277,2970984,184707,ACRO,0.9508928571428572,0.797153024911032
HG03130_h1_chr22,chr22,censat,distal,1,70769,209418,138649,ACRO,0.8491379310344828,0.9789029535864978
HG03130_h1_chr22,chr22,censat,distal,8,3620265,3799198,178933,ACRO,0.9508928571428572,0.797153024911032
HG03130_h1_chr22,chr22,censat,proximal,12,10908011,10978991,70980,bSat,0.9874999999999999,0.9911504424778761
HG03130_h1_chr21,chr21,censat,proximal,13,5236094,5304166,68072,SST1,0.838235294117647,0.9315068493150686
HG03130_h2_chr14,chr14,censat,distal,1,69097,340645,271548,ACRO,0.8491379310344828,0.9789029535864978
HG03130_h2_chr14,chr14,censat,distal,-1,4759095,5027678,268583,,,0.0
HG03130_h2_chr14,chr14,censat,distal,8,5127984,5188199,60215,ACRO,0.9508928571428572,0.797153024911032
HG03130_h2_chr14,chr14,censat,proximal,9,8761589,8813525,51936,HSat3,0.8281249999999999,0.9846153846153847
HG03130_h2_chr14,chr14,censat,proximal,13,10201865,10292599,90734,HSat1B,0.6018518518518517,0.9557522123893807
HG03130_h2_chr22,chr22,censat,proximal,5,3278441,3330806,52365,bSat,0.7794117647058824,0.9315068493150686
HG03130_h2_chr21,chr21,censat,proximal,13,3269562,3329208,59646,SST1,0.838235294117647,0.9315068493150686
HG03139_h1_chr13,chr13,censat,distal,1,19351,241696,222345,ACRO,0.8491379310344828,0.9789029535864978
HG03139_h1_chr13,chr13,censat,distal,8,2103252,2792642,689390,ACRO,0.9508928571428572,0.797153024911032
HG03139_h1_chr21,chr21,censat,distal,1,24909,85516,60607,ACRO,0.8491379310344828,0.9789029535864978
HG03139_h1_chr21,chr21,censat,distal,8,1747645,2091474,343829,ACRO,0.9508928571428572,0.797153024911032
HG03139_h1_chr21,chr21,censat,proximal,13,7987970,8056034,68064,SST1,0.838235294117647,0.9315068493150686
HG03139_h1_chr22,chr22,censat,distal,1,64485,224382,159897,ACRO,0.8491379310344828,0.9789029535864978
HG03139_h1_chr22,chr22,censat,distal,8,4394278,4468015,73737,ACRO,0.9508928571428572,0.797153024911032
HG03139_h1_chr14,chr14,censat,proximal,5,1681350,1731832,50482,bSat,0.9296875,0.987146529562982
HG03139_h1_chr14,chr14,censat,proximal,13,4424683,4502534,77851,HSat1B,0.6018518518518517,0.9557522123893807
HG03139_h2_chr13,chr13,censat,distal,1,74880,471691,396811,ACRO,0.8491379310344828,0.9789029535864978
HG03139_h2_chr13,chr13,censat,distal,8,2846582,3258902,412320,ACRO,0.9508928571428572,0.797153024911032
HG03139_h2_chr13,chr13,censat,proximal,13,6674447,6759498,85051,HSat3,0.49074074074074064,0.9557522123893807
HG03139_h2_chr14,chr14,censat,distal,1,81094,209957,128863,ACRO,0.8491379310344828,0.9789029535864978
HG03139_h2_chr14,chr14,censat,distal,8,3397505,3679370,281865,ACRO,0.9508928571428572,0.797153024911032
HG03139_h2_chr14,chr14,censat,proximal,13,9039488,9155631,116143,HSat1B,0.6018518518518517,0.9557522123893807
HG03139_h2_chr21,chr21,censat,proximal,13,5570048,5633933,63885,SST1,0.838235294117647,0.9315068493150686
HG03139_h2_chr22,chr22,censat,proximal,5,1754372,1804728,50356,bSat,0.7794117647058824,0.9315068493150686
HG03195_h1_chr22,chr22,censat,distal,1,76113,573388,497275,ACRO,0.8491379310344828,0.9789029535864978
HG03195_h1_chr22,chr22,censat,distal,8,2830558,2981585,151027,ACRO,0.9508928571428572,0.797153024911032
HG03195_h1_chr13,chr13,censat,proximal,13,3869042,3958285,89243,HSat3,0.49074074074074064,0.9557522123893807
HG03195_h2_chr22,chr22,censat,distal,1,76674,391136,314462,ACRO,0.8491379310344828,0.9789029535864978
HG03195_h2_chr22,chr22,censat,distal,8,3268545,3444266,175721,ACRO,0.9508928571428572,0.797153024911032
HG03195_h2_chr13,chr13,censat,proximal,13,3391701,3503743,112042,HSat3,0.49074074074074064,0.9557522123893807
HG03195_h2_chr14,chr14,censat,proximal,13,4556434,4620246,63812,HSat1B,0.6018518518518517,0.9557522123893807
HG03209_h1_chr15,chr15,censat,distal,1,73917,282339,208422,ACRO,0.8491379310344828,0.9789029535864978
HG03209_h1_chr15,chr15,censat,distal,-1,2482668,2768860,286192,,,0.0
HG03209_h1_chr15,chr15,censat,distal,8,3046163,3099057,52894,ACRO,0.9508928571428572,0.797153024911032
HG03209_h1_chr21,chr21,censat,distal,-1,71154,198399,127245,,,0.0
HG03209_h1_chr21,chr21,censat,distal,8,5935838,6002621,66783,ACRO,0.9508928571428572,0.797153024911032
HG03209_h1_chr21,chr21,censat,proximal,13,11741568,11818097,76529,SST1,0.838235294117647,0.9315068493150686
HG03209_h1_chr13,chr13,censat,proximal,13,4146034,4198628,52594,HSat3,0.49074074074074064,0.9557522123893807
HG03225_h1_chr14,chr14,censat,proximal,11,2372072,2430250,58178,HSat3,0.9839449541284403,0.9886621315192744
HG03225_h2_chr13,chr13,censat,proximal,13,6233228,6368978,135750,HSat3,0.49074074074074064,0.9557522123893807
HG03225_h2_chr21,chr21,censat,proximal,13,3243477,3296079,52602,SST1,0.838235294117647,0.9315068493150686
HG03225_h2_chr22,chr22,censat,proximal,-1,1350806,1426393,75587,,,0.0
HG03270_h1_chr22,chr22,censat,proximal,5,1799410,1906574,107164,bSat,0.7794117647058824,0.9315068493150686
HG03270_h1_chr21,chr21,censat,proximal,13,3680266,3756789,76523,SST1,0.838235294117647,0.9315068493150686
HG03369_h1_chr21,chr21,censat,proximal,13,5461937,5525822,63885,SST1,0.838235294117647,0.9315068493150686
HG03369_h1_chr14,chr14,censat,proximal,6,1951441,2235412,283971,,,0.017057569296375266
HG03369_h1_chr14,chr14,censat,proximal,13,4928606,5022188,93582,HSat1B,0.6018518518518517,0.9557522123893807
HG03369_h1_chr13,chr13,censat,proximal,13,3351149,3414926,63777,HSat3,0.49074074074074064,0.9557522123893807
HG03369_h2_chr21,chr21,censat,proximal,13,3571527,3711539,140012,SST1,0.838235294117647,0.9315068493150686
HG03470_h1_chr22,chr22,censat,distal,1,73505,326434,252929,ACRO,0.8491379310344828,0.9789029535864978
HG03470_h1_chr22,chr22,censat,distal,8,4396395,4511997,115602,ACRO,0.9508928571428572,0.797153024911032
HG03470_h1_chr14,chr14,censat,proximal,13,4430181,4492602,62421,HSat1B,0.6018518518518517,0.9557522123893807
HG03470_h1_chr21,chr21,censat,proximal,13,4042671,4105143,62472,SST1,0.838235294117647,0.9315068493150686
HG03470_h2_chr22,chr22,censat,distal,1,76805,156280,79475,ACRO,0.8491379310344828,0.9789029535864978
HG03470_h2_chr22,chr22,censat,distal,-1,2241294,2494026,252732,,,0.0
HG03470_h2_chr22,chr22,censat,distal,-1,2594967,2664978,70011,,,0.0
HG03470_h2_chr22,chr22,censat,distal,8,2801648,2854541,52893,ACRO,0.9508928571428572,0.797153024911032
HG03470_h2_chr14,chr14,censat,proximal,13,4574939,4671353,96414,HSat1B,0.6018518518518517,0.9557522123893807
HG03471_h1_chr22,chr22,censat,proximal,5,1902734,1971966,69232,bSat,0.7794117647058824,0.9315068493150686
HG03471_h2_chr22,chr22,censat,proximal,5,1874620,1924964,50344,bSat,0.7794117647058824,0.9315068493150686
HG03521_h1_chr13,chr13,censat,proximal,13,3850799,3918781,67982,HSat3,0.49074074074074064,0.9557522123893807
HG03521_h1_chr22,chr22,censat,proximal,5,1274617,1337566,62949,bSat,0.7794117647058824,0.9315068493150686
HG03521_h1_chr21,chr21,censat,proximal,13,3681311,3745196,63885,SST1,0.838235294117647,0.9315068493150686
HG03521_h2_chr21,chr21,censat,distal,1,67177,124167,56990,ACRO,0.8491379310344828,0.9789029535864978
HG03521_h2_chr21,chr21,censat,distal,8,3729028,3792195,63167,ACRO,0.9508928571428572,0.797153024911032
HG03521_h2_chr13,chr13,censat,proximal,13,2946376,2997454,51078,HSat3,0.49074074074074064,0.9557522123893807
HG03583_h1_chr22,chr22,censat,distal,1,73101,161236,88135,ACRO,0.8491379310344828,0.9789029535864978
HG03583_h1_chr22,chr22,censat,distal,8,1838254,2101375,263121,ACRO,0.9508928571428572,0.797153024911032
HG03583_h1_chr22,chr22,censat,proximal,5,4032477,4089116,56639,bSat,0.7794117647058824,0.9315068493150686
HG03583_h1_chr13,chr13,censat,proximal,13,3827906,3884758,56852,HSat3,0.49074074074074064,0.9557522123893807
HG03583_h2_chr21,chr21,censat,proximal,13,3650505,3701697,51192,SST1,0.838235294117647,0.9315068493150686
HG03583_h2_chr13,chr13,censat,proximal,7,2081718,2522799,441081,HSat1B,0.9656862745098038,0.9760765550239235
HG03583_h2_chr13,chr13,censat,proximal,13,4428203,4510434,82231,HSat3,0.49074074074074064,0.9557522123893807
HG03583_h2_chr22,chr22,censat,proximal,5,1357298,1527588,170290,bSat,0.7794117647058824,0.9315068493150686
HG03742_h1_chr14,chr14,censat,distal,1,67528,290429,222901,ACRO,0.8491379310344828,0.9789029535864978
HG03742_h1_chr14,chr14,censat,distal,8,4929862,4991474,61612,ACRO,0.9508928571428572,0.797153024911032
HG03742_h1_chr14,chr14,censat,proximal,11,9365229,9431868,66639,HSat3,0.9839449541284403,0.9886621315192744
HG03742_h1_chr22,chr22,censat,distal,1,78309,178748,100439,ACRO,0.8491379310344828,0.9789029535864978
HG03742_h2_chr13,chr13,censat,distal,1,70536,159363,88827,ACRO,0.8491379310344828,0.9789029535864978
HG03742_h2_chr13,chr13,censat,distal,8,5282506,5347117,64611,ACRO,0.9508928571428572,0.797153024911032
HG03742_h2_chr13,chr13,censat,proximal,13,9021988,9114063,92075,HSat3,0.49074074074074064,0.9557522123893807
HG03742_h2_chr14,chr14,censat,proximal,13,4561058,4622037,60979,HSat1B,0.6018518518518517,0.9557522123893807
HG03742_h2_chr15,chr15,censat,distal,-1,2753787,2900112,146325,,,0.0
HG03742_h2_chr15,chr15,censat,distal,8,3001043,3062651,61608,ACRO,0.9508928571428572,0.797153024911032
HG03742_h2_chr21,chr21,censat,proximal,13,4369878,4422468,52590,SST1,0.838235294117647,0.9315068493150686
HG03784_h1_chr21,chr21,censat,proximal,13,3029167,3104351,75184,SST1,0.838235294117647,0.9315068493150686
HG03784_h2_chr21,chr21,censat,proximal,13,2818296,2901916,83620,SST1,0.838235294117647,0.9315068493150686
HG03784_h2_chr22,chr22,censat,proximal,5,1719657,1782602,62945,bSat,0.7794117647058824,0.9315068493150686
HG03874_h1_chr21,chr21,censat,distal,1,64740,163685,98945,ACRO,0.8491379310344828,0.9789029535864978
HG03874_h1_chr21,chr21,censat,distal,8,1890858,1951018,60160,ACRO,0.9508928571428572,0.797153024911032
HG03874_h1_chr21,chr21,censat,proximal,13,6253288,6305909,52621,SST1,0.838235294117647,0.9315068493150686
HG03874_h1_chr22,chr22,censat,distal,1,62822,195110,132288,ACRO,0.8491379310344828,0.9789029535864978
HG03874_h1_chr22,chr22,censat,distal,8,1778490,2003091,224601,ACRO,0.9508928571428572,0.797153024911032
HG03874_h1_chr22,chr22,censat,proximal,5,3680561,3768780,88219,bSat,0.7794117647058824,0.9315068493150686
HG03874_h1_chr13,chr13,censat,proximal,13,3753286,3839734,86448,HSat3,0.49074074074074064,0.9557522123893807
HG03874_h2_chr13,chr13,censat,distal,1,62836,155495,92659,ACRO,0.8491379310344828,0.9789029535864978
HG03874_h2_chr13,chr13,censat,distal,8,1808165,2053759,245594,ACRO,0.9508928571428572,0.797153024911032
HG03874_h2_chr13,chr13,censat,proximal,13,6473102,6558146,85044,HSat3,0.49074074074074064,0.9557522123893807
HG03874_h2_chr22,chr22,censat,distal,6,1054593,1120474,65881,HSat3,0.9926778242677824,0.9947970863683663
HG03874_h2_chr22,chr22,censat,distal,8,1224590,1286058,61468,ACRO,0.9508928571428572,0.797153024911032
HG03874_h2_chr14,chr14,censat,proximal,13,2867297,2928267,60970,HSat1B,0.6018518518518517,0.9557522123893807
HG03874_h2_chr21,chr21,censat,proximal,13,4022143,4076154,54011,SST1,0.838235294117647,0.9315068493150686
NA18505_h1_chr15,chr15,censat,distal,1,71471,231742,160271,ACRO,0.8491379310344828,0.9789029535864978
NA18505_h1_chr15,chr15,censat,distal,8,3419859,3735151,315292,ACRO,0.9508928571428572,0.797153024911032
NA18505_h1_chr21,chr21,censat,proximal,13,3939986,4029293,89307,SST1,0.838235294117647,0.9315068493150686
NA18505_h1_chr22,chr22,censat,proximal,5,1433530,1635377,201847,bSat,0.7794117647058824,0.9315068493150686
NA18505_h2_chr14,chr14,censat,proximal,13,5036199,5158003,121804,HSat1B,0.6018518518518517,0.9557522123893807
NA18505_h2_chr21,chr21,censat,proximal,13,3505535,3589190,83655,SST1,0.838235294117647,0.9315068493150686
NA18508_h1_chr13,chr13,censat,distal,1,78224,225101,146877,ACRO,0.8491379310344828,0.9789029535864978
NA18508_h1_chr13,chr13,censat,distal,8,2617546,2782831,165285,ACRO,0.9508928571428572,0.797153024911032
NA18522_h1_chr13,chr13,censat,proximal,13,3571911,3624394,52483,HSat3,0.49074074074074064,0.9557522123893807
NA18522_h1_chr15,chr15,censat,proximal,-1,1796854,8631739,6834885,,,0.0
NA18522_h1_chr22,chr22,censat,proximal,-1,1728860,1779208,50348,,,0.0
NA18522_h2_chr13,chr13,censat,distal,1,73695,275572,201877,ACRO,0.8491379310344828,0.9789029535864978
NA18522_h2_chr13,chr13,censat,distal,-1,6098723,6333500,234777,,,0.0
NA18522_h2_chr13,chr13,censat,distal,-1,6433788,6494067,60279,,,0.0
NA18522_h2_chr13,chr13,censat,distal,8,6630732,6683334,52602,ACRO,0.9508928571428572,0.797153024911032
NA18522_h2_chr13,chr13,censat,proximal,13,10590964,10657722,66758,HSat3,0.49074074074074064,0.9557522123893807
NA18522_h2_chr21,chr21,censat,proximal,13,3453640,3538700,85060,SST1,0.838235294117647,0.9315068493150686
NA18565_h1_chr13,chr13,censat,proximal,13,3858418,3919487,61069,HSat3,0.49074074074074064,0.9557522123893807
NA18565_h1_chr14,chr14,censat,proximal,13,4443643,4521555,77912,HSat1B,0.6018518518518517,0.9557522123893807
NA18565_h2_chr13,chr13,censat,proximal,13,3091115,3181785,90670,HSat3,0.49074074074074064,0.9557522123893807
NA18565_h2_chr21,chr21,censat,proximal,13,3199981,3255412,55431,SST1,0.838235294117647,0.9315068493150686
NA18565_h2_chr22,chr22,censat,proximal,5,1225640,1294912,69272,bSat,0.7794117647058824,0.9315068493150686
NA18570_h1_chr13,chr13,censat,distal,1,64534,172675,108141,ACRO,0.8491379310344828,0.9789029535864978
NA18570_h1_chr13,chr13,censat,distal,8,1894618,2149557,254939,ACRO,0.9508928571428572,0.797153024911032
NA18570_h1_chr13,chr13,censat,proximal,13,5649613,5724774,75161,HSat3,0.49074074074074064,0.9557522123893807
NA18570_h1_chr15,chr15,censat,distal,1,73442,259998,186556,ACRO,0.8491379310344828,0.9789029535864978
NA18570_h1_chr15,chr15,censat,distal,8,2221730,2532250,310520,ACRO,0.9508928571428572,0.797153024911032
NA18570_h1_chr22,chr22,censat,distal,1,72264,188524,116260,ACRO,0.8491379310344828,0.9789029535864978
NA18570_h1_chr14,chr14,censat,proximal,13,2996021,3052770,56749,HSat1B,0.6018518518518517,0.9557522123893807
NA18570_h1_chr21,chr21,censat,proximal,13,3466300,3528784,62484,SST1,0.838235294117647,0.9315068493150686
NA18570_h2_chr14,chr14,censat,distal,1,74315,183490,109175,ACRO,0.8491379310344828,0.9789029535864978
NA18570_h2_chr14,chr14,censat,distal,8,2165131,2406505,241374,ACRO,0.9508928571428572,0.797153024911032
NA18570_h2_chr15,chr15,censat,distal,1,72587,199081,126494,ACRO,0.8491379310344828,0.9789029535864978
NA18570_h2_chr15,chr15,censat,distal,-1,2453946,2725011,271065,,,0.0
NA18570_h2_chr15,chr15,censat,distal,-1,2825941,2887740,61799,,,0.0
NA18570_h2_chr15,chr15,censat,distal,8,3045716,3115792,70076,ACRO,0.9508928571428572,0.797153024911032
NA18570_h2_chr22,chr22,censat,proximal,5,4896300,5016082,119782,bSat,0.7794117647058824,0.9315068493150686
NA18608_h1_chr13,chr13,censat,proximal,13,3341163,3441703,100540,HSat3,0.49074074074074064,0.9557522123893807
NA18608_h1_chr14,chr14,censat,proximal,13,7155664,7227943,72279,HSat1B,0.6018518518518517,0.9557522123893807
NA18608_h1_chr22,chr22,censat,proximal,5,1728054,1797354,69300,bSat,0.7794117647058824,0.9315068493150686
NA18608_h2_chr14,chr14,censat,distal,-1,2323518,2405170,81652,,,0.0
NA18608_h2_chr14,chr14,censat,distal,-1,2506102,2567901,61799,,,0.0
NA18608_h2_chr14,chr14,censat,distal,8,2724600,2794676,70076,ACRO,0.9508928571428572,0.797153024911032
NA18608_h2_chr14,chr14,censat,proximal,13,6636026,6706896,70870,HSat1B,0.6018518518518517,0.9557522123893807
NA18608_h2_chr21,chr21,censat,proximal,13,3541705,3599929,58224,SST1,0.838235294117647,0.9315068493150686
NA18608_h2_chr13,chr13,censat,proximal,13,3509445,3574742,65297,HSat3,0.49074074074074064,0.9557522123893807
NA18608_h2_chr22,chr22,censat,proximal,5,1867470,2094557,227087,bSat,0.7794117647058824,0.9315068493150686
NA18620_h1_chr22,chr22,censat,proximal,5,2368398,2570226,201828,bSat,0.7794117647058824,0.9315068493150686
NA18620_h2_chr14,chr14,censat,proximal,13,5285048,5343260,58212,HSat1B,0.6018518518518517,0.9557522123893807
NA18747_h1_chr21,chr21,censat,proximal,13,3127708,3232424,104716,SST1,0.838235294117647,0.9315068493150686
NA18747_h2_chr13,chr13,censat,proximal,13,3691263,3801732,110469,HSat3,0.49074074074074064,0.9557522123893807
NA18747_h2_chr21,chr21,censat,proximal,13,3400273,3464159,63886,SST1,0.838235294117647,0.9315068493150686
NA18879_h1_chr14,chr14,censat,distal,1,70952,159314,88362,ACRO,0.8491379310344828,0.9789029535864978
NA18879_h1_chr14,chr14,censat,distal,8,2395738,2694613,298875,ACRO,0.9508928571428572,0.797153024911032
NA18879_h1_chr14,chr14,censat,proximal,13,7873188,7932788,59600,HSat1B,0.6018518518518517,0.9557522123893807
NA18879_h1_chr15,chr15,censat,distal,1,67192,189335,122143,ACRO,0.8491379310344828,0.9789029535864978
NA18879_h1_chr15,chr15,censat,distal,8,1839050,2086232,247182,ACRO,0.9508928571428572,0.797153024911032
NA18879_h1_chr21,chr21,censat,proximal,13,5892978,5969572,76594,SST1,0.838235294117647,0.9315068493150686
NA18879_h2_chr22,chr22,censat,distal,1,72500,198397,125897,ACRO,0.8491379310344828,0.9789029535864978
NA18879_h2_chr22,chr22,censat,distal,8,2574817,2741845,167028,ACRO,0.9508928571428572,0.797153024911032
NA18879_h2_chr13,chr13,censat,proximal,11,3088055,3215420,127365,HSat3,0.9869402985074627,0.9907578558225509
NA18879_h2_chr15,chr15,censat,distal,9,1674054,4788143,3114089,,,0.0097442143727162
NA18952_h1_chr14,chr14,censat,proximal,13,3452326,3530246,77920,HSat1B,0.6018518518518517,0.9557522123893807
NA18952_h1_chr22,chr22,censat,proximal,5,1542152,1687198,145046,bSat,0.7794117647058824,0.9315068493150686
NA18952_h2_chr14,chr14,censat,proximal,13,2578278,2658946,80668,HSat1B,0.6018518518518517,0.9557522123893807
NA18952_h2_chr21,chr21,censat,proximal,13,3356363,3410386,54023,SST1,0.838235294117647,0.9315068493150686
NA18971_h1_chr22,chr22,censat,distal,1,71386,302045,230659,ACRO,0.8491379310344828,0.9789029535864978
NA18971_h1_chr22,chr22,censat,distal,8,2137220,2369642,232422,ACRO,0.9508928571428572,0.797153024911032
NA18971_h1_chr22,chr22,censat,proximal,5,4389736,4496886,107150,bSat,0.7794117647058824,0.9315068493150686
NA18971_h1_chr13,chr13,censat,proximal,13,3261064,3324954,63890,HSat3,0.49074074074074064,0.9557522123893807
NA18971_h1_chr21,chr21,censat,proximal,13,3340234,3415391,75157,SST1,0.838235294117647,0.9315068493150686
NA18971_h2_chr21,chr21,censat,distal,8,4691034,4968098,277064,ACRO,0.9508928571428572,0.797153024911032
NA18971_h2_chr21,chr21,censat,proximal,13,9509063,9595475,86412,SST1,0.838235294117647,0.9315068493150686
NA18971_h2_chr22,chr22,censat,proximal,5,4260728,4443636,182908,bSat,0.7794117647058824,0.9315068493150686
NA18971_h2_chr13,chr13,censat,proximal,7,2007689,2075570,67881,HSat1B,0.9656862745098038,0.9760765550239235
NA18971_h2_chr13,chr13,censat,proximal,11,3264433,3366377,101944,HSat3,0.9869402985074627,0.9907578558225509
NA18974_h1_chr22,chr22,censat,distal,1,67175,167337,100162,ACRO,0.8491379310344828,0.9789029535864978
NA18974_h1_chr22,chr22,censat,distal,8,3839061,3999087,160026,ACRO,0.9508928571428572,0.797153024911032
NA18974_h1_chr22,chr22,censat,proximal,5,6228422,6291385,62963,bSat,0.7794117647058824,0.9315068493150686
NA18974_h1_chr14,chr14,censat,proximal,13,3294533,3366744,72211,HSat1B,0.6018518518518517,0.9557522123893807
NA18974_h2_chr13,chr13,censat,distal,1,62532,120360,57828,ACRO,0.8491379310344828,0.9789029535864978
NA18974_h2_chr13,chr13,censat,distal,-1,1633538,1720886,87348,,,0.0
NA18974_h2_chr13,chr13,censat,distal,8,1821184,1882796,61612,ACRO,0.9508928571428572,0.797153024911032
NA18976_h1_chr22,chr22,censat,distal,1,67522,273619,206097,ACRO,0.8491379310344828,0.9789029535864978
NA18976_h1_chr22,chr22,censat,distal,8,1840329,2272296,431967,ACRO,0.9508928571428572,0.797153024911032
NA18976_h1_chr22,chr22,censat,proximal,5,4215021,4277977,62956,bSat,0.7794117647058824,0.9315068493150686
NA18976_h1_chr13,chr13,censat,proximal,13,3705070,3767549,62479,HSat3,0.49074074074074064,0.9557522123893807
NA18976_h2_chr15,chr15,censat,distal,1,65618,260452,194834,ACRO,0.8491379310344828,0.9789029535864978
NA18976_h2_chr15,chr15,censat,distal,8,3295277,3448513,153236,ACRO,0.9508928571428572,0.797153024911032
NA18976_h2_chr22,chr22,censat,distal,1,66461,273021,206560,ACRO,0.8491379310344828,0.9789029535864978
NA18976_h2_chr22,chr22,censat,distal,8,1873353,2078743,205390,ACRO,0.9508928571428572,0.797153024911032
NA18976_h2_chr22,chr22,censat,proximal,5,4226380,4434610,208230,bSat,0.7794117647058824,0.9315068493150686
NA18983_h1_chr13,chr13,censat,proximal,13,3718734,3776984,58250,HSat3,0.49074074074074064,0.9557522123893807
NA18983_h1_chr22,chr22,censat,proximal,5,1495876,1552507,56631,bSat,0.7794117647058824,0.9315068493150686
NA18983_h2_chr22,chr22,censat,proximal,5,1578173,1666386,88213,bSat,0.7794117647058824,0.9315068493150686
NA18983_h2_chr14,chr14,censat,proximal,13,4384235,4476156,91921,HSat1B,0.6018518518518517,0.9557522123893807
NA19036_h1_chr14,chr14,censat,distal,1,66017,628633,562616,ACRO,0.8491379310344828,0.9789029535864978
NA19036_h1_chr14,chr14,censat,distal,8,2411077,2609714,198637,ACRO,0.9508928571428572,0.797153024911032
NA19036_h1_chr14,chr14,censat,proximal,13,8431695,8495500,63805,HSat1B,0.6018518518518517,0.9557522123893807
NA19036_h2_chr14,chr14,censat,proximal,6,2211011,2261472,50461,,,0.017057569296375266
NA19036_h2_chr14,chr14,censat,proximal,13,4938048,5023178,85130,HSat1B,0.6018518518518517,0.9557522123893807
NA19036_h2_chr21,chr21,censat,proximal,13,3354063,3440539,86476,SST1,0.838235294117647,0.9315068493150686
NA19036_h2_chr22,chr22,censat,proximal,12,5969647,6040627,70980,bSat,0.9874999999999999,0.9911504424778761
NA19043_h1_chr14,chr14,censat,distal,1,70423,237263,166840,ACRO,0.8491379310344828,0.9789029535864978
NA19043_h1_chr14,chr14,censat,proximal,6,6861264,6911758,50494,,,0.017057569296375266
NA19043_h1_chr14,chr14,censat,proximal,13,9207861,9323968,116107,HSat1B,0.6018518518518517,0.9557522123893807
NA19043_h1_chr22,chr22,censat,distal,1,70287,159549,89262,ACRO,0.8491379310344828,0.9789029535864978
NA19043_h1_chr22,chr22,censat,distal,8,2110694,2295718,185024,ACRO,0.9508928571428572,0.797153024911032
NA19043_h2_chr22,chr22,censat,distal,1,8959,90533,81574,ACRO,0.8491379310344828,0.9789029535864978
NA19043_h2_chr22,chr22,censat,distal,8,2370442,2643885,273443,ACRO,0.9508928571428572,0.797153024911032
NA19043_h2_chr22,chr22,censat,proximal,5,4646535,4716014,69479,bSat,0.7794117647058824,0.9315068493150686
NA19043_h2_chr21,chr21,censat,proximal,13,3792487,3870417,77930,SST1,0.838235294117647,0.9315068493150686
NA19087_h1_chr21,chr21,censat,proximal,13,3481626,3534240,52614,SST1,0.838235294117647,0.9315068493150686
NA19087_h1_chr13,chr13,censat,proximal,13,3578450,3669186,90736,HSat3,0.49074074074074064,0.9557522123893807
NA19087_h2_chr14,chr14,censat,distal,1,72932,231315,158383,ACRO,0.8491379310344828,0.9789029535864978
NA19087_h2_chr14,chr14,censat,distal,8,2615359,2919308,303949,ACRO,0.9508928571428572,0.797153024911032
NA19087_h2_chr15,chr15,censat,distal,1,72253,237496,165243,ACRO,0.8491379310344828,0.9789029535864978
NA19087_h2_chr15,chr15,censat,distal,-1,2656656,2737702,81046,,,0.0
NA19087_h2_chr15,chr15,censat,distal,8,2838648,2900260,61612,ACRO,0.9508928571428572,0.797153024911032
NA19087_h2_chr22,chr22,censat,distal,8,1801763,2000527,198764,ACRO,0.9508928571428572,0.797153024911032
NA19087_h2_chr22,chr22,censat,proximal,5,4060111,4135689,75578,bSat,0.7794117647058824,0.9315068493150686
NA19087_h2_chr13,chr13,censat,proximal,13,3642597,3754448,111851,HSat3,0.49074074074074064,0.9557522123893807
NA19159_h1_chr14,chr14,censat,distal,1,74739,379650,304911,ACRO,0.8491379310344828,0.9789029535864978
NA19159_h1_chr14,chr14,censat,proximal,6,4349756,4406552,56796,,,0.017057569296375266
NA19159_h1_chr14,chr14,censat,proximal,13,6729922,6813605,83683,HSat1B,0.6018518518518517,0.9557522123893807
NA19159_h1_chr15,chr15,censat,distal,1,68509,118893,50384,ACRO,0.8491379310344828,0.9789029535864978
NA19159_h1_chr15,chr15,censat,distal,8,2904895,3101945,197050,ACRO,0.9508928571428572,0.797153024911032
NA19159_h1_chr21,chr21,censat,distal,8,1457960,1696971,239011,ACRO,0.9508928571428572,0.797153024911032
NA19159_h1_chr21,chr21,censat,proximal,13,8323224,8406876,83652,SST1,0.838235294117647,0.9315068493150686
NA19159_h1_chr22,chr22,censat,proximal,18,4662924,4782602,119678,HSat3,0.9897660818713451,0.9927431059506531
NA19159_h2_chr21,chr21,censat,proximal,13,5844994,5913039,68045,SST1,0.838235294117647,0.9315068493150686
NA19159_h2_chr13,chr13,censat,proximal,13,3143526,3287731,144205,HSat3,0.49074074074074064,0.9557522123893807
NA19185_h1_chr13,chr13,censat,distal,1,65000,172489,107489,ACRO,0.8491379310344828,0.9789029535864978
NA19185_h1_chr13,chr13,censat,distal,-1,1399328,1499318,99990,,,0.0
NA19185_h1_chr13,chr13,censat,distal,8,1599619,1661134,61515,ACRO,0.9508928571428572,0.797153024911032
