chrom,fam,start,end,bp,med_mu,f150,f10k,f100k,f1M
chr22,hsat3,7100921,7448015,347094,99.0,0.5936749122716036,1.0,1.0,1.0
chr22,ct,7448015,7479189,31174,75.0,0.8093924424199653,1.0,1.0,1.0
chr22,ct,7531541,7556525,24984,115.0,0.6123118796029459,1.0,1.0,1.0
chr22,censat,7559726,7584358,24632,1771.0,0.1718090289054888,1.0,1.0,1.0
chr22,ct,7584358,7614005,29647,70.0,0.8167774142409012,1.0,1.0,1.0
chr22,ct,7653117,7759145,106028,107.0,0.6569679707247142,1.0,1.0,1.0
chr22,hsat3,7759145,7869235,110090,48.0,0.8876373875919702,1.0,1.0,1.0
chr22,bsat,7869235,7973003,103768,42.0,0.9683235679592939,1.0,1.0,1.0
chr22,hsat3,7973003,8276611,303608,26.0,0.9467602961713789,1.0,1.0,1.0
chr22,ct,8276611,8321654,45043,21.0,0.9959594165575117,1.0,1.0,1.0
chr22,hsat3,8321654,8461789,140135,25.0,0.9953972954650873,1.0,1.0,1.0
chr22,ct,8461789,8489239,27450,104.0,0.6718761384335155,1.0,1.0,1.0
chr22,hor,8489239,8811730,322491,1648.0,0.13207190278178305,0.9913547974982247,1.0,1.0
chr22,hsat3,8826762,8919871,93109,90.0,0.6904488287920609,1.0,1.0,1.0
chr22,ct,8919927,8941568,21641,144.0,0.5135160112748949,1.0,1.0,1.0
chr22,hsat3,8962754,9048630,85876,55.0,0.794913596348223,1.0,1.0,1.0
chr22,ct,9048630,9151293,102663,55.0,0.777602446840634,1.0,1.0,1.0
chr22,ct,9166656,9247579,80923,29.0,0.9730237386157211,1.0,1.0,1.0
chr22,ct,9251457,9315474,64017,67.0,0.8174547385850633,1.0,1.0,1.0
chr22,ct,9320537,9343602,23065,46.0,0.8987210058530241,1.0,1.0,1.0
chr22,bsat,9364841,9685670,320829,40.0,0.9389768381287228,1.0,1.0,1.0
chr22,hsat3,9685670,9720911,35241,36.0,0.9803921568627451,1.0,1.0,1.0
chr22,ct,9720911,9795619,74708,83.0,0.7776141778658243,1.0,1.0,1.0
chr22,ct,9807311,9832423,25112,89.0,0.7178241478177764,1.0,1.0,1.0
chr22,ct,9841333,9946504,105171,133.0,0.5569120765229959,1.0,1.0,1.0
chr22,hor,9946504,10184152,237648,346.0,0.2841218945667542,1.0,1.0,1.0
chr22,hsat3,10190912,10293512,102600,79.0,0.7183625730994152,1.0,1.0,1.0
chr22,ct,10293568,10341988,48420,76.0,0.659727385377943,1.0,1.0,1.0
chr22,hsat3,10357967,10424956,66989,78.0,0.7419874904835122,1.0,1.0,1.0
chr22,ct,10424956,10529794,104838,224.0,0.36563078273145233,1.0,1.0,1.0
chr22,ct,10568764,10621704,52940,438.0,0.18114846996599923,1.0,1.0,1.0
chr22,ct,10630585,10655768,25183,331.0,0.21359647381169836,1.0,1.0,1.0
chr22,ct,10677088,10716788,39700,245.0,0.306095717884131,1.0,1.0,1.0
chr22,hsat3,10716788,10963906,247118,319.0,0.2899343633405903,1.0,1.0,1.0
chr22,hsat1A,10963906,10995846,31940,69.0,0.7556981840951784,1.0,1.0,1.0
chr22,ct,11013020,11202246,189226,212.0,0.37533425639182777,1.0,1.0,1.0
chr22,ct,11230031,11261965,31934,181.0,0.43179683096386295,1.0,1.0,1.0
chr22,ct,11288246,11340578,52332,102.0,0.6631697622869372,1.0,1.0,1.0
chr22,ct,11343892,11410993,67101,161.0,0.47234765502749587,1.0,1.0,1.0
chr22,ct,11412551,11456252,43701,199.0,0.4031486693668337,1.0,1.0,1.0
chr22,ct,11458176,11507140,48964,171.0,0.44957519810473,1.0,1.0,1.0
chr22,ct,11529452,11556215,26763,219.0,0.34058214699398426,1.0,1.0,1.0
chr22,ct,11557025,11578307,21282,142.0,0.5206277605488207,1.0,1.0,1.0
chr22,hsat3,11578307,11687118,108811,78.0,0.7475439064065214,1.0,1.0,1.0
chr22,mon,11687118,11860515,173397,142.0,0.52320974411322,1.0,1.0,1.0
chr22,hsat3,11860515,11962777,102262,91.0,0.6997516183919735,1.0,1.0,1.0
chr22,mon,11962777,12026699,63922,148.0,0.5072432026532336,1.0,1.0,1.0
chr22,mon,12039407,12161875,122468,154.0,0.4921857138191201,1.0,1.0,1.0
chr22,ct,12161875,12283837,121962,174.0,0.44644233449763043,1.0,1.0,1.0
chr22,ct,12327143,12358860,31717,236.0,0.3296654790806192,1.0,1.0,1.0
chr22,ct,12378963,12403155,24192,222.0,0.3695023148148148,1.0,1.0,1.0
chr22,mon,12420151,12449808,29657,334.0,0.27453889469602455,1.0,1.0,1.0
chr22,hsat3,12449808,12480444,30636,101.0,0.5876419898159029,1.0,1.0,1.0
chr22,mon,12480444,12554764,74320,302.0,0.28256189451022606,1.0,1.0,1.0
chr22,ct,12554764,12583263,28499,186.0,0.43327836064423314,1.0,1.0,1.0
chr22,ct,12592442,12617571,25129,233.0,0.3429105813999761,1.0,1.0,1.0
chr22,ct,12617748,12666501,48753,359.0,0.2507127766496421,1.0,1.0,1.0
chr22,ct,12672038,12765164,93126,373.0,0.2292055924231686,1.0,1.0,1.0
chr22,dhor,12765164,12788000,22836,243.0,0.3422665966018567,1.0,1.0,1.0
