chrom,start,end,fam,kb
chr22,7559561,7559726,ct,0.165
chr22,7559726,7584358,censat,24.632
chr22,7584358,7614005,ct,29.647
chr22,7614005,7615391,censat,1.386
chr22,7615391,7632457,ct,17.066
chr22,7632457,7634607,censat,2.15
chr22,7634607,7647094,ct,12.487
chr22,7647094,7653117,censat,6.023
chr22,7653117,7759145,ct,106.028
chr22,7759145,7869235,hsat3,110.09
chr22,7869235,7973003,bsat,103.768
chr22,7973003,8276611,hsat3,303.608
chr22,8276611,8321654,ct,45.043
chr22,8321654,8461789,hsat3,140.135
chr22,8461789,8489239,ct,27.45
chr22,8489239,8811730,hor,322.491
chr22,8811730,8826762,mon,15.032
chr22,8826762,8919871,hsat3,93.109
chr22,8919871,8919927,mon,0.056
chr22,8919927,8941568,ct,21.641
chr22,8941568,8941826,censat,0.258
chr22,8941826,8954330,ct,12.504
chr22,8954330,8962754,mon,8.424
chr22,8962754,9048630,hsat3,85.876
chr22,9048630,9151293,ct,102.663
chr22,9151293,9166656,censat,15.363
chr22,9166656,9247579,ct,80.923
chr22,9247579,9249556,bsat,1.977
chr22,9249556,9251457,censat,1.901
chr22,9251457,9315474,ct,64.017
chr22,9315474,9316557,censat,1.083
chr22,9316557,9320537,bsat,3.98
chr22,9320537,9343602,ct,23.065
chr22,9343602,9346649,bsat,3.047
chr22,9346649,9364841,ct,18.192
chr22,9364841,9685670,bsat,320.829
chr22,9685670,9720911,hsat3,35.241
chr22,9720911,9795619,ct,74.708
chr22,9795619,9803869,censat,8.25
chr22,9803869,9804032,ct,0.163
chr22,9804032,9807311,gsat,3.279
chr22,9807311,9832423,ct,25.112
chr22,9832423,9836274,censat,3.851
chr22,9836274,9839196,ct,2.922
chr22,9839196,9841333,censat,2.137
chr22,9841333,9946504,ct,105.171
chr22,9946504,10184152,hor,237.648
chr22,10184152,10190912,mon,6.76
chr22,10190912,10293512,hsat3,102.6
chr22,10293512,10293568,mon,0.056
chr22,10293568,10341988,ct,48.42
chr22,10341988,10357967,mon,15.979
chr22,10357967,10424956,hsat3,66.989
chr22,10424956,10529794,ct,104.838
chr22,10529794,10535670,censat,5.876
chr22,10535670,10548153,ct,12.483
chr22,10548153,10550289,censat,2.136
chr22,10550289,10567415,ct,17.126
chr22,10567415,10568764,censat,1.349
chr22,10568764,10621704,ct,52.94
chr22,10621704,10623827,censat,2.123
chr22,10623827,10626751,ct,2.924
chr22,10626751,10630585,censat,3.834
chr22,10630585,10655768,ct,25.183
chr22,10655768,10659119,gsat,3.351
chr22,10659119,10665166,censat,6.047
chr22,10665166,10671593,ct,6.427
chr22,10671593,10677088,censat,5.495
chr22,10677088,10716788,ct,39.7
chr22,10716788,10963906,hsat3,247.118
chr22,10963906,10995846,hsat1A,31.94
chr22,10995846,11013020,hsat1B,17.174
chr22,11013020,11202246,ct,189.226
chr22,11202246,11211789,hsat3,9.543
chr22,11211789,11228084,ct,16.295
chr22,11228084,11230031,censat,1.947
chr22,11230031,11261965,ct,31.934
chr22,11261965,11263948,censat,1.983
chr22,11263948,11281177,ct,17.229
chr22,11281177,11283169,hsat2,1.992
chr22,11283169,11287923,ct,4.754
chr22,11287923,11288246,censat,0.323
chr22,11288246,11340578,ct,52.332
chr22,11340578,11343892,censat,3.314
chr22,11343892,11410993,ct,67.101
chr22,11410993,11412551,censat,1.558
chr22,11412551,11456252,ct,43.701
chr22,11456252,11458176,censat,1.924
chr22,11458176,11507140,ct,48.964
chr22,11507140,11510283,censat,3.143
chr22,11510283,11526349,ct,16.066
chr22,11526349,11529452,censat,3.103
chr22,11529452,11556215,ct,26.763
chr22,11556215,11557025,censat,0.81
chr22,11557025,11578307,ct,21.282
chr22,11578307,11687118,hsat3,108.811
chr22,11687118,11860515,mon,173.397
chr22,11860515,11962777,hsat3,102.262
chr22,11962777,12026699,mon,63.922
chr22,12026699,12039407,hsat3,12.708
chr22,12039407,12161875,mon,122.468
chr22,12161875,12283837,ct,121.962
chr22,12283837,12286028,bsat,2.191
chr22,12286028,12289227,censat,3.199
chr22,12289227,12298066,ct,8.839
chr22,12298066,12309119,mon,11.053
chr22,12309119,12320062,hor,10.943
chr22,12320062,12327143,mon,7.081
chr22,12327143,12358860,ct,31.717
chr22,12358860,12359116,censat,0.256
chr22,12359116,12378795,ct,19.679
chr22,12378795,12378963,bsat,0.168
chr22,12378963,12403155,ct,24.192
chr22,12403155,12404653,censat,1.498
chr22,12404653,12407579,bsat,2.926
chr22,12407579,12410151,ct,2.572
chr22,12410151,12412325,bsat,2.174
chr22,12412325,12420151,ct,7.826
chr22,12420151,12449808,mon,29.657
chr22,12449808,12480444,hsat3,30.636
chr22,12480444,12554764,mon,74.32
chr22,12554764,12583263,ct,28.499
chr22,12583263,12590899,bsat,7.636
chr22,12590899,12592442,censat,1.543
chr22,12592442,12617571,ct,25.129
chr22,12617571,12617748,bsat,0.177
chr22,12617748,12666501,ct,48.753
chr22,12666501,12669859,censat,3.358
chr22,12669859,12672038,bsat,2.179
chr22,12672038,12765164,ct,93.126
chr22,12765164,12788180,dhor,23.016
chr22,12788180,15711065,hor,2922.885
chr22,15711065,15742829,dhor,31.764
chr22,15742829,15786187,mon,43.358
chr22,15786187,15926552,ct,140.365
chr22,15926552,16045085,censat,118.533
chr22,16045085,16086102,ct,41.017
chr22,16086102,16092306,censat,6.204
chr22,16092306,16338507,ct,246.201
chr22,16338507,16339514,mon,1.007
chr22,16339514,16453393,ct,113.879
chr22,16453393,16456165,gsat,2.772
chr22,16456165,16465838,censat,9.673
chr22,16465838,16514391,ct,48.553
chr22,16514391,16570374,dhor,55.983
chr22,16570374,16661575,mon,91.201
chr22,16661575,16661678,censat,0.103
chr22,16661678,16798016,ct,136.338
chr22,16798016,16811126,censat,13.11
chr22,16811126,16834972,ct,23.846
chr22,16834972,16844530,hsat2,9.558
chr22,16844530,16875107,mon,30.577
chr22,16875107,16932518,hsat2,57.411
chr22,16932518,16949610,ct,17.092
chr22,16949610,16952329,censat,2.719
chr22,16952329,16979900,ct,27.571
chr22,16979900,17018755,hsat2,38.855
chr22,17018755,17038232,hsat3,19.477
chr22,17038232,17057613,hsat2,19.381
chr22,17057613,17062358,ct,4.745
chr22,17062358,17063283,censat,0.925
chr22,17063283,17424208,ct,360.925
chr22,17424208,17425501,censat,1.293
chr22,17425501,18873529,ct,1448.028
chr22,18873529,18879842,hsat1B,6.313
chr22,18879842,19066844,ct,187.002
chr22,19066844,19074963,hsat1B,8.119
chr22,19074963,19100335,ct,25.372
chr22,19100335,19107854,hsat1B,7.519
chr22,19107854,20032203,ct,924.349
chr22,20032203,20037050,censat,4.847
chr22,20037050,20711065,ct,674.015
